88.5,82.75,74.9,67.2,59.25,50.15,45.7,37.85,31.8,29.5,24.85,23.35,25.45,27.8,29.45,37.45,43.95,50,56.3,65.925,72.35,79.5,82.75,85.6,90.4,89.2,92.35,94.05,94.05,94.85,96.15,97.35,96.8,98.1,97.35,97.7,98.25,98.65,98.5,98.35,99.05
92.95,83.65,78.35,68.4,63.25,54.05,46.6,38.5,33.3,31.35,27.3,22.85,24.5,23.75,27,29.75,34.45,43.7,50,58.4,64.65,71.575,77.65,83.3,88.15,91.1,91.05,93.5,95.1,96.3,96.2,97.85,98,97.75,98,98.95,98.5,99.2,99.05,98.65,98.6
94.9,87.55,81.85,73.3,67.4,56.35,49.7,42.7,35.9,33.45,25.8,24,21.15,22.1,23.45,26.35,28,34.075,41.6,50,57.75,65,73.35,78.85,83.7,88.9,91.45,94.4,95,96.1,97.25,97.85,98.1,98.4,98.9,99.2,98.95,99.35,99.25,99.45,99.5
95.25,90.05,82.65,75.9,68.1,57.4,53,45.25,36.6,32.75,26.8,22.5,19.1,18.55,18.65,21.55,25.1,27.65,35.35,42.25,50,57.85,65.875,73.1,78.05,86.4,89.95,92,95.55,97.05,97.65,98.55,98.55,99.35,99,99.6,99.55,99.65,99.7,99.6,99.6
96.85,91.6,84.1,77.25,70.6,60.55,53.9,46.05,38.55,33.1,28.5,25.25,19.7,18.55,16,17.9,17.75,20.5,28.425,35,42.15,50,56.5,68.75,71.85,80.95,86.85,90.3,93.9,96.05,96.35,98.55,99.05,99.3,99.6,99.5,99.8,99.65,99.9,99.45,99.95
97.45,91.5,85.35,77.9,71.35,62.4,55.3,48.7,38.9,33.95,27.9,25.45,19.35,16.05,14.9,13.6,15.4,17.25,22.35,26.65,34.125,43.5,50,58.925,66.35,74.3,81.2,88.5,91.65,95.15,96.75,97.95,99.15,99.35,99.65,99.7,99.7,99.75,99.6,99.9,99.9
98.1,92.7,88.6,80.4,70.55,62.45,57.15,47.45,39.55,34.85,29.45,22.35,19.3,16.3,15.75,13.4,14.1,14.4,16.7,21.15,26.9,31.25,41.075,50,57.325,67.4,76.7,82.4,88.2,91.65,95.5,97.2,97.75,99.3,99.35,99.85,99.9,99.85,99.95,99.9,99.85
98.9,93.4,86.8,80,72.05,64.15,55.65,48.15,40.85,35.35,30,22.8,19.55,17,13.6,11.1,11,9.599998,11.85,16.3,21.95,28.15,33.65,42.675,50,59.2,66.8,76.7,83.5,88.95,93.2,95.25,97.4,98.65,99.35,99.8,99.85,99.95,99.85,99.95,100
99.15,94.5,87.8,78.8,72.7,64.9,54.05,46.2,40.6,33.8,27.05,23.65,18,15.35,11.75,10.9,9.949997,10.8,8.900002,11.1,13.6,19.05,25.7,32.6,40.8,50,58.775,68.65,77.65,82.95,89.4,92.85,96.3,98.25,98.3,99.45,99.7,99.95,99.95,100,100
99.6,93.35,88.25,79.4,71,65.5,55,47.5,40,35.85,26.45,24.85,20.15,14.5,12.2,9.349998,7.699997,7.650002,8.949997,8.550003,10.05,13.15,18.8,23.3,33.2,41.225,50,62.175,69.575,78.025,83.95,89.6,95.15,96.6,98.6,99.4,99.45,99.95,100,100,100
99.8,94.75,86.6,78.95,68.95,62.95,56,47.45,39.7,34.25,29.3,21.2,16,15.05,11.05,9.400002,7.949997,5.949997,6.5,5.599998,8,9.699997,11.5,17.6,23.3,31.35,37.825,50,60.25,69.15,77.7,85.075,90.95,95.75,97.4,98.75,99.65,100,100,100,100
